"Category","Spending"
"Uncategorized","$2,185.00"
"Home","$1,100.00"
"Food & Dining","$852.02"
"Auto & Transport","$571.58"
"Education","$210.11"
"Shopping","$194.59"
"Entertainment","$159.94"
"Fees & Charges","$116.52"
"Bills & Utilities","$31.95"
"Business Services","$14.00"
"Total","$5,435.71"
