"Category","Spending"
"Home","$1,875.00"
"Food & Dining","$865.38"
"Travel","$218.60"
"Education","$215.31"
"Business Services","$199.95"
"Gifts & Donations","$174.52"
"Auto & Transport","$137.31"
"Entertainment","$127.43"
"Uncategorized","$120.00"
"Fees & Charges","$95.63"
"Shopping","$59.94"
"Total","$4,089.07"
