"Category","Spending"
"Home","$1,895.74"
"Food & Dining","$785.14"
"Uncategorized","$680.00"
"Shopping","$373.62"
"Entertainment","$215.59"
"Education","$210.11"
"Gifts & Donations","$159.83"
"Auto & Transport","$137.72"
"Fees & Charges","$119.56"
"Personal Care","$48.00"
"Business Services","$36.95"
"Travel","$35.68"
"Taxes","-$715.05"
"Total","$3,982.89"
