"Category","Spending"
"Home","$2,228.18"
"Food & Dining","$596.61"
"Auto & Transport","$233.33"
"Education","$210.11"
"Travel","$170.08"
"Fees & Charges","$141.90"
"Uncategorized","$120.00"
"Shopping","$103.99"
"Entertainment","$96.98"
"Health & Fitness","$42.94"
"Business Services","$39.91"
"Bills & Utilities","$31.95"
"Total","$4,015.98"
