"Category","Spending"
"Home","$1,875.00"
"Food & Dining","$1,073.63"
"Travel","$331.77"
"Shopping","$277.20"
"Entertainment","$240.03"
"Education","$238.11"
"Auto & Transport","$234.66"
"Fees & Charges","$130.27"
"Uncategorized","$60.00"
"Financial","$46.63"
"Business Services","$41.67"
"Health & Fitness","$8.40"
"Total","$4,557.37"
