"Category","Spending"
"Home","$1,870.58"
"Food & Dining","$724.84"
"Auto & Transport","$443.30"
"Education","$210.11"
"Entertainment","$129.17"
"Travel","$112.64"
"Fees & Charges","$111.47"
"Uncategorized","$100.00"
"Bills & Utilities","$86.93"
"Shopping","$38.88"
"Business Services","$7.50"
"Total","$3,835.42"
