"Category","Spending"
"Home","$1,875.00"
"Food & Dining","$1,503.91"
"Education","$210.11"
"Shopping","$209.39"
"Fees & Charges","$132.15"
"Entertainment","$111.34"
"Auto & Transport","$72.68"
"Business Services","$31.95"
"Bills & Utilities","$25.00"
"Health & Fitness","$20.40"
"Uncategorized","$10.00"
"Total","$4,201.93"
