"Category","Spending"
"Home","$1,875.00"
"Health & Fitness","$1,085.93"
"Food & Dining","$1,006.09"
"Auto & Transport","$425.46"
"Shopping","$234.96"
"Education","$210.11"
"Fees & Charges","$119.72"
"Entertainment","$95.90"
"Personal Care","$60.00"
"Gifts & Donations","$36.85"
"Business Services","$31.95"
"Travel","$6.48"
"Total","$5,188.45"
