"Category","Spending"
"Home","$1,918.39"
"Travel","$722.21"
"Food & Dining","$711.86"
"Auto & Transport","$260.96"
"Education","$210.11"
"Uncategorized","$200.00"
"Fees & Charges","$184.54"
"Business Services","$139.60"
"Gifts & Donations","$82.32"
"Entertainment","$63.09"
"Shopping","$20.00"
"Personal Care","$6.00"
"Total","$4,519.08"
