"Category","Spending"
"Home","$1,875.00"
"Food & Dining","$1,159.44"
"Auto & Transport","$257.49"
"Shopping","$210.71"
"Education","$210.11"
"Fees & Charges","$115.69"
"Uncategorized","$100.00"
"Entertainment","$84.80"
"Business Services","$59.95"
"Pets","$15.55"
"Health & Fitness","$10.00"
"Total","$4,098.74"
